n,fc (2pi MHz),wavelength(nm),2*wavelength,,,
19,612.7288386,489.2742745,978.5485491,612.7288435,489.2742706,978.5485413
20,614.2321535,488.0767904,976.1535807,614.2321575,488.0767872,976.1535744
21,615.4901687,487.0791984,974.1583969,615.490172,487.0791958,974.1583917
22,616.5534917,486.2391699,972.4783398,616.5534945,486.2391677,972.4783354
23,617.4603208,485.5250579,971.0501158,617.4603232,485.525056,971.050112
24,618.2399253,484.9128077,969.8256154,618.2399274,484.9128061,969.8256121
25,618.915038,484.3838647,968.7677293,618.9150398,484.3838633,968.7677265
26,619.5035319,483.9237269,967.8474539,619.5035335,483.9237257,967.8474514
27,620.0196156,483.5209249,967.0418498,620.019617,483.5209238,967.0418476
28,620.4746995,483.166289,966.3325781,620.4747008,483.166288,966.3325761
29,620.8780316,482.8524166,965.7048332,620.8780328,482.8524157,965.7048315
30,621.2371717,482.5732774,965.1465549,621.2371727,482.5732766,965.1465533
31,621.5583476,482.3239188,964.6478377,621.5583486,482.3239181,964.6478362
32,621.8467278,482.1002421,964.2004842,621.8467286,482.1002414,964.2004828
33,622.10663,481.8988314,963.7976628,622.1066308,481.8988308,963.7976616
34,622.3416841,481.7168215,963.4336431,622.3416849,481.716821,963.433642
35,622.5549597,481.5517945,963.103589,622.5549604,481.551794,963.1035879
36,622.7490664,481.401698,962.8033961,622.749067,481.4016976,962.8033951
37,622.9262344,481.2647814,962.5295628,622.9262349,481.2647809,962.5295619
38,623.0883787,481.1395433,962.2790867,623.0883793,481.1395429,962.2790858
39,623.2371513,481.0246908,962.0493815,623.2371518,481.0246904,962.0493808
40,623.3739831,480.9191049,961.8382099,623.3739836,480.9191046,961.8382091
41,623.5001185,480.821814,961.6436279,623.500119,480.8218136,961.6436272
42,623.6166442,480.7319702,961.4639404,623.6166446,480.7319699,961.4639398
43,623.7245119,480.6488318,961.2976636,623.7245123,480.6488315,961.297663
44,623.8245587,480.571747,961.143494,623.8245591,480.5717467,961.1434934
45,623.9175228,480.5001415,961.000283,623.9175232,480.5001412,961.0002824
46,624.0040573,480.4335076,960.8670151,624.0040577,480.4335073,960.8670146
47,624.0847418,480.371395,960.74279,624.0847421,480.3713948,960.7427895
48,624.1600918,480.3134035,960.626807,624.1600921,480.3134032,960.6268065
49,624.2305675,480.259176,960.518352,624.2305678,480.2591758,960.5183516
50,624.2965804,480.2083936,960.4167871,624.2965807,480.2083933,960.4167867
51,624.3584996,480.1607701,960.3215402,624.3584999,480.1607699,960.3215398
52,624.4166566,480.1160488,960.2320977,624.4166569,480.1160486,960.2320973
53,624.4713502,480.0739984,960.1479969,624.4713504,480.0739982,960.1479965
54,624.52285,480.0344103,960.0688205,624.5228502,480.0344101,960.0688202
55,624.5714,479.9970956,959.9941913,624.5714002,479.9970955,959.9941909
56,624.6172211,479.9618837,959.9237673,624.6172213,479.9618835,959.923767
57,624.6605141,479.9286192,959.8572383,624.6605144,479.928619,959.857238
58,624.7014617,479.8971611,959.7943221,624.7014619,479.8971609,959.7943218
59,624.7402303,479.8673808,959.7347616,624.7402305,479.8673807,959.7347613
60,624.7769717,479.8391611,959.6783222,624.7769719,479.839161,959.6783219
61,624.8118249,479.8123948,959.6247895,624.8118251,479.8123946,959.6247893
62,624.8449171,479.7869836,959.5739672,624.8449173,479.7869835,959.573967
63,624.8763649,479.7628376,959.5256753,624.8763651,479.7628375,959.525675
64,624.9062755,479.7398742,959.4797483,624.9062757,479.739874,959.4797481
65,624.9347476,479.7180172,959.4360345,624.9347477,479.7180171,959.4360342
66,624.9618718,479.6971968,959.3943936,624.9618719,479.6971967,959.3943934
67,624.9877319,479.6773483,959.3546967,624.9877321,479.6773482,959.3546965
68,625.0124054,479.6584123,959.3168245,625.0124055,479.6584122,959.3168243
69,625.0359636,479.6403335,959.2806669,625.0359637,479.6403334,959.2806667
70,625.0584728,479.6230609,959.2461219,625.058473,479.6230608,959.2461217
71,625.0799944,479.6065474,959.2130949,625.0799945,479.6065473,959.2130947
72,625.1005853,479.5907491,959.1814982,625.1005855,479.590749,959.1814981
73,625.1202985,479.5756253,959.1512505,625.1202986,479.5756252,959.1512503
74,625.139183,479.561138,959.122276,625.1391831,479.5611379,959.1222758
75,625.1572848,479.547252,959.0945041,625.1572849,479.547252,959.0945039
76,625.1746464,479.5339346,959.0678692,625.1746465,479.5339345,959.0678691
77,625.1913077,479.5211551,959.0423101,625.1913078,479.521155,959.04231
78,625.2073058,479.5088848,959.0177696,625.2073059,479.5088847,959.0177695
79,625.2226756,479.4970971,958.9941943,625.2226757,479.4970971,958.9941941
80,625.2374494,479.485767,958.9715341,625.2374495,479.485767,958.9715339
81,625.2516577,479.4748712,958.9497423,625.2516577,479.4748711,958.9497422
82,625.2653289,479.4643876,958.9287752,625.265329,479.4643875,958.928775
83,625.2784899,479.4542957,958.9085915,625.27849,479.4542957,958.9085913
84,625.2911656,479.4445763,958.8891527,625.2911657,479.4445763,958.8891526
85,625.3033797,479.4352113,958.8704226,625.3033798,479.4352112,958.8704225
86,625.3151544,479.4261836,958.8523672,625.3151544,479.4261835,958.8523671
87,625.3265103,479.4174772,958.8349544,625.3265104,479.4174771,958.8349543
88,625.3374672,479.4090771,958.8181541,625.3374673,479.409077,958.818154
89,625.3480435,479.400969,958.8019379,625.3480436,479.4009689,958.8019378
90,625.3582567,479.3931395,958.786279,625.3582568,479.3931395,958.7862789
91,625.3681232,479.3855761,958.7711522,625.3681232,479.385576,958.7711521
92,625.3776585,479.3782668,958.7565336,625.3776585,479.3782667,958.7565335
93,625.3868772,479.3712003,958.7424007,625.3868773,479.3712003,958.7424006
94,625.3957933,479.3643661,958.7287322,625.3957933,479.364366,958.7287321
95,625.4044198,479.357754,958.715508,625.4044198,479.3577539,958.7155079
96,625.4127691,479.3513545,958.702709,625.4127692,479.3513545,958.7027089
97,625.420853,479.3451586,958.6903172,625.4208531,479.3451586,958.6903171
98,625.4286827,479.3391578,958.6783155,625.4286827,479.3391577,958.6783154
99,625.4362686,479.3333439,958.6666878,625.4362686,479.3333438,958.6666877
100,625.4436208,479.3277092,958.6554185,625.4436208,479.3277092,958.6554184
101,625.4507487,479.3222466,958.6444931,,,
102,625.4576615,479.3169489,958.6338979,,,
103,625.4643677,479.3118097,958.6236195,,,
104,625.4708754,479.3068227,958.6136455,,,
105,625.4771924,479.301982,958.603964,,,
106,625.4833261,479.2972818,958.5945636,,,
107,625.4892834,479.2927168,958.5854337,,,
108,625.4950712,479.2882819,958.5765638,,,
109,625.5006957,479.2839721,958.5679442,,,
110,625.5061631,479.2797828,958.5595657,,,
111,625.5114791,479.2757096,958.5514192,,,
112,625.5166493,479.2717481,958.5434963,,,
113,625.521679,479.2678944,958.5357888,,,
114,625.5265732,479.2641446,958.5282891,,,
115,625.5313367,479.2604949,958.5209898,,,
116,625.5359742,479.2569418,958.5138837,,,
117,625.54049,479.253482,958.5069641,,,
118,625.5448884,479.2501122,958.5002245,,,
119,625.5491735,479.2468294,958.4936587,,,
120,625.553349,479.2436304,958.4872609,,,
121,625.5574187,479.2405126,958.4810253,,,
122,625.5613861,479.2374732,958.4749464,,,
123,625.5652546,479.2345096,958.4690192,,,
124,625.5690275,479.2316193,958.4632385,,,
125,625.5727079,479.2287998,958.4575996,,,
126,625.5762988,479.226049,958.4520979,,,
127,625.5798031,479.2233645,958.446729,,,
128,625.5832235,479.2207443,958.4414886,,,
129,625.5865628,479.2181863,958.4363726,,,
130,625.5898234,479.2156886,958.4313772,,,
